reltime,datetime,iSensor,confidence,heart_rate
0.001,2024/05/28 15:06:36.9369,5,1.0,73.0
0.001,2024/05/28 15:06:36.9369,4,0.0,0.0
0.001,2024/05/28 15:06:36.9369,3,1.0,65.0
0.001,2024/05/28 15:06:36.9369,2,0.0,0.0
0.001,2024/05/28 15:06:36.9369,1,0.0,0.0
0.001,2024/05/28 15:06:36.9369,0,0.0,0.0
0.084,2024/05/28 15:06:37.0199,5,1.0,70.0
0.404,2024/05/28 15:06:37.3399,3,1.0,65.0
0.576,2024/05/28 15:06:37.5119,5,1.0,70.0
0.65,2024/05/28 15:06:37.5859,3,1.0,64.0
0.823,2024/05/28 15:06:37.7589,5,1.0,70.0
0.896,2024/05/28 15:06:37.8319,3,1.0,64.0
1.068,2024/05/28 15:06:38.0039,5,1.0,69.0
1.143,2024/05/28 15:06:38.0789,3,1.0,64.0
1.314,2024/05/28 15:06:38.2499,5,1.0,69.0
1.389,2024/05/28 15:06:38.3249,3,1.0,64.0
1.561,2024/05/28 15:06:38.4969,5,1.0,69.0
1.635,2024/05/28 15:06:38.5709,3,1.0,64.0
1.807,2024/05/28 15:06:38.7429,5,1.0,69.0
1.881,2024/05/28 15:06:38.8169,3,1.0,64.0
2.054,2024/05/28 15:06:38.9899,5,1.0,65.0
2.128,2024/05/28 15:06:39.0639,3,1.0,64.0
2.3,2024/05/28 15:06:39.2359,5,1.0,65.0
2.374,2024/05/28 15:06:39.3099,3,1.0,64.0
2.547,2024/05/28 15:06:39.4829,5,1.0,65.0
2.62,2024/05/28 15:06:39.5559,3,1.0,63.0
2.793,2024/05/28 15:06:39.7289,5,1.0,65.0
2.867,2024/05/28 15:06:39.8029,3,1.0,63.0
3.038,2024/05/28 15:06:39.9739,5,1.0,62.0
3.113,2024/05/28 15:06:40.0489,3,1.0,63.0
3.359,2024/05/28 15:06:40.2949,3,1.0,63.0
3.531,2024/05/28 15:06:40.4669,5,1.0,62.0
3.606,2024/05/28 15:06:40.5419,3,1.0,63.0
3.777,2024/05/28 15:06:40.7129,5,1.0,62.0
3.852,2024/05/28 15:06:40.7879,3,1.0,63.0
4.024,2024/05/28 15:06:40.9599,5,1.0,61.0
4.098,2024/05/28 15:06:41.0339,3,1.0,63.0
4.27,2024/05/28 15:06:41.2059,5,1.0,61.0
4.345,2024/05/28 15:06:41.2809,3,1.0,62.0
4.516,2024/05/28 15:06:41.4519,5,1.0,61.0
4.591,2024/05/28 15:06:41.5269,3,1.0,62.0
4.763,2024/05/28 15:06:41.6989,5,1.0,61.0
4.837,2024/05/28 15:06:41.7729,3,1.0,62.0
5.009,2024/05/28 15:06:41.9449,5,1.0,61.0
5.083,2024/05/28 15:06:42.0189,3,1.0,62.0
5.255,2024/05/28 15:06:42.1909,5,1.0,61.0
5.33,2024/05/28 15:06:42.2659,3,1.0,62.0
5.502,2024/05/28 15:06:42.4379,5,1.0,61.0
5.576,2024/05/28 15:06:42.5119,3,1.0,63.0
5.748,2024/05/28 15:06:42.6839,5,1.0,61.0
5.822,2024/05/28 15:06:42.7579,3,1.0,63.0
5.994,2024/05/28 15:06:42.9299,5,1.0,60.0
6.068,2024/05/28 15:06:43.0039,3,1.0,63.0
6.241,2024/05/28 15:06:43.1769,5,1.0,60.0
6.314,2024/05/28 15:06:43.2499,3,1.0,63.0
6.487,2024/05/28 15:06:43.4229,5,1.0,60.0
6.561,2024/05/28 15:06:43.4969,3,1.0,63.0
6.732,2024/05/28 15:06:43.6679,5,1.0,60.0
6.807,2024/05/28 15:06:43.7429,3,1.0,63.0
7.053,2024/05/28 15:06:43.9889,3,1.0,63.0
7.225,2024/05/28 15:06:44.1609,5,1.0,60.0
7.3,2024/05/28 15:06:44.2359,3,1.0,63.0
7.475,2024/05/28 15:06:44.4109,5,1.0,60.0
7.546,2024/05/28 15:06:44.4819,3,1.0,64.0
7.718,2024/05/28 15:06:44.6539,5,1.0,60.0
7.792,2024/05/28 15:06:44.7279,3,1.0,64.0
7.964,2024/05/28 15:06:44.8999,5,1.0,60.0
8.039,2024/05/28 15:06:44.9749,3,1.0,64.0
8.21,2024/05/28 15:06:45.1459,5,1.0,60.0
8.285,2024/05/28 15:06:45.2209,3,1.0,64.0
8.457,2024/05/28 15:06:45.3929,5,1.0,60.0
8.703,2024/05/28 15:06:45.6389,5,1.0,60.0
8.777,2024/05/28 15:06:45.7129,3,1.0,63.0
8.949,2024/05/28 15:06:45.8849,5,1.0,60.0
9.024,2024/05/28 15:06:45.9599,3,1.0,63.0
9.196,2024/05/28 15:06:46.1319,5,1.0,60.0
9.27,2024/05/28 15:06:46.2059,3,1.0,63.0
9.442,2024/05/28 15:06:46.3779,5,1.0,60.0
9.516,2024/05/28 15:06:46.4519,3,1.0,63.0
9.688,2024/05/28 15:06:46.6239,5,1.0,60.0
9.762,2024/05/28 15:06:46.6979,3,1.0,63.0
10.009,2024/05/28 15:06:46.9449,3,1.0,63.0
10.18,2024/05/28 15:06:47.1159,5,1.0,60.0
10.255,2024/05/28 15:06:47.1909,3,1.0,63.0
10.426,2024/05/28 15:06:47.3619,5,1.0,60.0
10.501,2024/05/28 15:06:47.4369,3,1.0,63.0
10.748,2024/05/28 15:06:47.6839,3,1.0,63.0
10.919,2024/05/28 15:06:47.8549,5,1.0,60.0
10.994,2024/05/28 15:06:47.9299,3,1.0,63.0
11.24,2024/05/28 15:06:48.1759,3,1.0,63.0
11.412,2024/05/28 15:06:48.3479,5,1.0,60.0
11.487,2024/05/28 15:06:48.4229,3,1.0,63.0
11.658,2024/05/28 15:06:48.5939,5,1.0,60.0
11.733,2024/05/28 15:06:48.6689,3,1.0,62.0
11.904,2024/05/28 15:06:48.8399,5,1.0,60.0
11.979,2024/05/28 15:06:48.9149,3,1.0,62.0
12.151,2024/05/28 15:06:49.0869,5,1.0,61.0
12.225,2024/05/28 15:06:49.1609,3,1.0,62.0
12.397,2024/05/28 15:06:49.3329,5,1.0,61.0
12.471,2024/05/28 15:06:49.4069,3,1.0,62.0
12.89,2024/05/28 15:06:49.8259,5,1.0,61.0
12.964,2024/05/28 15:06:49.8999,3,1.0,61.0
13.136,2024/05/28 15:06:50.0719,5,1.0,61.0
13.21,2024/05/28 15:06:50.1459,3,1.0,61.0
13.383,2024/05/28 15:06:50.3189,5,1.0,61.0
13.456,2024/05/28 15:06:50.3919,3,1.0,61.0
13.629,2024/05/28 15:06:50.5649,5,1.0,61.0
13.703,2024/05/28 15:06:50.6389,3,1.0,61.0
