reltime;datetime;iSensor;confidence;heart_rate

   0.0010;2024/06/14 11:21:47.0809;5;1.00;93.0
   0.0010;2024/06/14 11:21:47.0809;4;0.00;0.0
   0.0010;2024/06/14 11:21:47.0809;3;1.00;92.0
   0.0010;2024/06/14 11:21:47.0809;2;0.00;0.0
   0.0010;2024/06/14 11:21:47.0809;1;0.00;0.0
   0.0010;2024/06/14 11:21:47.0809;0;0.00;0.0
   0.0200;2024/06/14 11:21:47.0999;3;1.00;92.0
   0.2210;2024/06/14 11:21:47.3009;5;1.00;93.0
   0.2650;2024/06/14 11:21:47.3449;3;1.00;92.0
   0.4680;2024/06/14 11:21:47.5479;5;1.00;93.0
   0.7140;2024/06/14 11:21:47.7939;5;1.00;93.0
   0.7580;2024/06/14 11:21:47.8379;3;1.00;91.0
   1.0050;2024/06/14 11:21:48.0849;3;1.00;91.0
   1.2510;2024/06/14 11:21:48.3309;3;1.00;91.0
   1.4970;2024/06/14 11:21:48.5769;3;1.00;91.0
   1.7000;2024/06/14 11:21:48.7799;5;1.00;93.0
   1.7440;2024/06/14 11:21:48.8239;3;1.00;90.0
   1.9460;2024/06/14 11:21:49.0259;5;1.00;92.0
   1.9890;2024/06/14 11:21:49.0689;3;1.00;90.0
   2.2350;2024/06/14 11:21:49.3149;3;1.00;90.0
   2.4380;2024/06/14 11:21:49.5179;5;1.00;92.0
   2.4820;2024/06/14 11:21:49.5619;3;1.00;90.0
   2.6840;2024/06/14 11:21:49.7639;5;1.00;92.0
   2.7280;2024/06/14 11:21:49.8079;3;1.00;90.0
   2.9310;2024/06/14 11:21:50.0109;5;1.00;92.0
   2.9740;2024/06/14 11:21:50.0539;3;1.00;90.0
   3.1770;2024/06/14 11:21:50.2569;5;1.00;92.0
   3.2210;2024/06/14 11:21:50.3009;3;1.00;90.0
   3.4230;2024/06/14 11:21:50.5029;5;1.00;92.0
   3.4670;2024/06/14 11:21:50.5469;3;1.00;90.0
   3.6700;2024/06/14 11:21:50.7499;5;1.00;92.0
   3.7140;2024/06/14 11:21:50.7939;3;1.00;90.0
   3.9160;2024/06/14 11:21:50.9959;5;1.00;92.0
   3.9600;2024/06/14 11:21:51.0399;3;1.00;90.0
   4.1630;2024/06/14 11:21:51.2429;5;1.00;92.0
   4.2070;2024/06/14 11:21:51.2869;3;1.00;90.0
   4.4520;2024/06/14 11:21:51.5319;3;1.00;90.0
   4.6540;2024/06/14 11:21:51.7339;5;1.00;92.0
   4.6980;2024/06/14 11:21:51.7779;3;1.00;90.0
   4.9010;2024/06/14 11:21:51.9809;5;1.00;93.0
   4.9450;2024/06/14 11:21:52.0249;3;1.00;90.0
   5.1910;2024/06/14 11:21:52.2709;3;1.00;90.0
   5.3940;2024/06/14 11:21:52.4739;5;1.00;93.0
   5.4380;2024/06/14 11:21:52.5179;3;1.00;90.0
   5.6400;2024/06/14 11:21:52.7199;5;1.00;93.0
   5.6840;2024/06/14 11:21:52.7639;3;1.00;90.0
   5.8860;2024/06/14 11:21:52.9659;5;1.00;89.0
   5.9300;2024/06/14 11:21:53.0099;3;1.00;89.0
   6.1330;2024/06/14 11:21:53.2129;5;1.00;89.0
   6.1770;2024/06/14 11:21:53.2569;3;1.00;89.0
   6.3780;2024/06/14 11:21:53.4579;5;1.00;89.0
   6.6250;2024/06/14 11:21:53.7049;5;1.00;89.0
   6.6680;2024/06/14 11:21:53.7479;3;1.00;89.0
   6.8720;2024/06/14 11:21:53.9519;5;1.00;91.0
   6.9150;2024/06/14 11:21:53.9949;3;1.00;89.0
