reltime;datetime;iSensor;headPos.x;headPos.y;headPos.z;headPosQ;headYaw;headPitch;headRoll;headRotQ;gazeSrc.x;gazeSrc.y;gazeSrc.z;gazeDir.x;gazeDir.y;gazeDir.z;gazeQ;leftEyeOpen;leftEyeOpenQ;rightEyeOpen;rightEyeOpenQ;pupil;pupilQ

   0.0010;2024/06/05 11:00:35.7749;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.963;-0.010;0.271;1.00;10.00;1.00;10.00;1.00;2.71;1.00
   1.2790;2024/06/05 11:00:37.0529;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.941;-0.128;0.314;0.99;9.90;1.00;9.90;1.00;2.65;0.99
   1.2890;2024/06/05 11:00:37.0629;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.920;-0.217;0.326;0.99;9.90;1.00;9.90;1.00;2.63;0.99
   1.3080;2024/06/05 11:00:37.0819;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.915;-0.230;0.332;1.00;10.00;1.00;10.00;1.00;2.63;1.00
   1.3180;2024/06/05 11:00:37.0919;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.915;-0.229;0.332;1.00;10.00;1.00;10.00;1.00;2.64;1.00
   1.3370;2024/06/05 11:00:37.1109;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.914;-0.226;0.336;1.00;10.00;1.00;10.00;1.00;2.62;1.00
   1.3470;2024/06/05 11:00:37.1209;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.914;-0.226;0.336;1.00;10.00;1.00;10.00;1.00;2.62;1.00
   1.3670;2024/06/05 11:00:37.1409;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.920;-0.218;0.326;1.00;10.00;1.00;10.00;1.00;2.63;1.00
   1.3870;2024/06/05 11:00:37.1609;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.919;-0.221;0.326;1.00;10.00;1.00;10.00;1.00;2.63;1.00
   1.3960;2024/06/05 11:00:37.1699;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.918;-0.227;0.325;1.00;10.00;1.00;10.00;1.00;2.64;1.00
   1.4150;2024/06/05 11:00:37.1889;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.919;-0.227;0.323;1.00;10.00;1.00;10.00;1.00;2.63;1.00
   1.4250;2024/06/05 11:00:37.1989;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.917;-0.231;0.325;1.00;10.00;1.00;10.00;1.00;2.63;1.00
   1.4440;2024/06/05 11:00:37.2179;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.915;-0.233;0.328;1.00;10.00;1.00;10.00;1.00;2.65;1.00
   1.4640;2024/06/05 11:00:37.2379;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.916;-0.233;0.326;1.00;10.00;1.00;10.00;1.00;2.64;1.00
   1.4740;2024/06/05 11:00:37.2479;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.916;-0.233;0.326;1.00;10.00;1.00;10.00;1.00;2.64;1.00
   1.4940;2024/06/05 11:00:37.2679;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.917;-0.231;0.326;1.00;10.00;1.00;10.00;1.00;2.62;1.00
   1.5040;2024/06/05 11:00:37.2779;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.916;-0.231;0.328;1.00;10.00;1.00;10.00;1.00;2.64;1.00
   1.5240;2024/06/05 11:00:37.2979;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.917;-0.231;0.326;1.00;10.00;1.00;10.00;1.00;2.63;1.00
   1.5340;2024/06/05 11:00:37.3079;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.917;-0.230;0.326;1.00;10.00;1.00;10.00;1.00;2.65;1.00
   1.5520;2024/06/05 11:00:37.3259;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.917;-0.228;0.327;1.00;10.00;1.00;10.00;1.00;2.63;1.00
   1.5710;2024/06/05 11:00:37.3449;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.916;-0.222;0.333;1.00;10.00;1.00;10.00;1.00;2.64;1.00
   1.5810;2024/06/05 11:00:37.3549;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.916;-0.222;0.333;1.00;10.00;1.00;10.00;1.00;2.64;1.00
   1.6010;2024/06/05 11:00:37.3749;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.949;-0.061;0.309;0.99;9.90;1.00;9.90;1.00;2.67;0.99
   1.6110;2024/06/05 11:00:37.3849;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.949;-0.061;0.309;0.99;9.90;1.00;9.90;1.00;2.67;0.99
   1.6310;2024/06/05 11:00:37.4049;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.959;0.017;0.282;1.00;10.00;1.00;10.00;1.00;2.69;1.00
   1.6410;2024/06/05 11:00:37.4149;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.959;0.017;0.282;1.00;10.00;1.00;10.00;1.00;2.68;1.00
   1.6600;2024/06/05 11:00:37.4339;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.960;0.013;0.281;1.00;10.00;1.00;10.00;1.00;2.68;1.00
   1.6790;2024/06/05 11:00:37.4529;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.009;-0.015;0.960;0.013;0.279;1.00;10.00;1.00;10.00;1.00;2.67;1.00
