reltime,datetime,iSensor,confidence,heart_rate
0.001,2024/06/05 10:25:33.1849,5,1.0,91.0
0.001,2024/06/05 10:25:33.1849,4,0.0,0.0
0.001,2024/06/05 10:25:33.1849,3,1.0,91.0
0.001,2024/06/05 10:25:33.1849,2,0.0,0.0
0.001,2024/06/05 10:25:33.1849,1,0.0,0.0
0.001,2024/06/05 10:25:33.1849,0,0.0,0.0
0.022,2024/06/05 10:25:33.2059,3,1.0,91.0
0.121,2024/06/05 10:25:33.3049,5,1.0,91.0
0.269,2024/06/05 10:25:33.4529,3,1.0,89.0
0.368,2024/06/05 10:25:33.5519,5,1.0,91.0
0.515,2024/06/05 10:25:33.6989,3,1.0,89.0
0.614,2024/06/05 10:25:33.7979,5,1.0,91.0
0.761,2024/06/05 10:25:33.9449,3,1.0,89.0
0.86,2024/06/05 10:25:34.0439,5,1.0,91.0
1.007,2024/06/05 10:25:34.1909,3,1.0,88.0
1.107,2024/06/05 10:25:34.2909,5,1.0,91.0
1.253,2024/06/05 10:25:34.4369,3,1.0,88.0
1.353,2024/06/05 10:25:34.5369,5,1.0,91.0
1.5,2024/06/05 10:25:34.6839,3,1.0,87.0
1.599,2024/06/05 10:25:34.7829,5,1.0,91.0
1.746,2024/06/05 10:25:34.9299,3,1.0,87.0
1.845,2024/06/05 10:25:35.0289,5,1.0,91.0
1.992,2024/06/05 10:25:35.1759,3,1.0,87.0
2.092,2024/06/05 10:25:35.2759,5,1.0,91.0
2.239,2024/06/05 10:25:35.4229,3,1.0,86.0
2.338,2024/06/05 10:25:35.5219,5,1.0,90.0
2.485,2024/06/05 10:25:35.6689,3,1.0,86.0
2.585,2024/06/05 10:25:35.7689,5,1.0,90.0
2.731,2024/06/05 10:25:35.9149,3,1.0,86.0
2.831,2024/06/05 10:25:36.0149,5,1.0,90.0
2.978,2024/06/05 10:25:36.1619,3,1.0,86.0
3.077,2024/06/05 10:25:36.2609,5,1.0,90.0
3.223,2024/06/05 10:25:36.4069,3,1.0,86.0
3.47,2024/06/05 10:25:36.6539,3,1.0,86.0
3.57,2024/06/05 10:25:36.7539,5,1.0,87.0
3.716,2024/06/05 10:25:36.8999,3,1.0,86.0
3.816,2024/06/05 10:25:36.9999,5,1.0,87.0
4.062,2024/06/05 10:25:37.2459,5,1.0,87.0
4.209,2024/06/05 10:25:37.3929,3,1.0,87.0
4.308,2024/06/05 10:25:37.4919,5,1.0,87.0
4.455,2024/06/05 10:25:37.6389,3,1.0,87.0
4.554,2024/06/05 10:25:37.7379,5,1.0,87.0
4.801,2024/06/05 10:25:37.9849,5,1.0,87.0
4.948,2024/06/05 10:25:38.1319,3,1.0,87.0
5.047,2024/06/05 10:25:38.2309,5,1.0,87.0
5.194,2024/06/05 10:25:38.3779,3,1.0,87.0
5.293,2024/06/05 10:25:38.4769,5,1.0,87.0
5.44,2024/06/05 10:25:38.6239,3,1.0,88.0
5.54,2024/06/05 10:25:38.7239,5,1.0,87.0
5.686,2024/06/05 10:25:38.8699,3,1.0,88.0
5.786,2024/06/05 10:25:38.9699,5,1.0,87.0
5.933,2024/06/05 10:25:39.1169,3,1.0,88.0
6.032,2024/06/05 10:25:39.2159,5,1.0,87.0
6.179,2024/06/05 10:25:39.3629,3,1.0,88.0
6.278,2024/06/05 10:25:39.4619,5,1.0,85.0
6.426,2024/06/05 10:25:39.6099,3,1.0,88.0
6.524,2024/06/05 10:25:39.7079,5,1.0,85.0
6.672,2024/06/05 10:25:39.8559,3,1.0,89.0
6.771,2024/06/05 10:25:39.9549,5,1.0,85.0
6.917,2024/06/05 10:25:40.1009,3,1.0,89.0
7.017,2024/06/05 10:25:40.2009,5,1.0,85.0
7.164,2024/06/05 10:25:40.3479,3,1.0,90.0
7.264,2024/06/05 10:25:40.4479,5,1.0,85.0
7.41,2024/06/05 10:25:40.5939,3,1.0,90.0
7.51,2024/06/05 10:25:40.6939,5,1.0,85.0
7.657,2024/06/05 10:25:40.8409,3,1.0,90.0
7.756,2024/06/05 10:25:40.9399,5,1.0,85.0
7.903,2024/06/05 10:25:41.0869,3,1.0,92.0
8.003,2024/06/05 10:25:41.1869,5,1.0,85.0
8.149,2024/06/05 10:25:41.3329,3,1.0,92.0
8.249,2024/06/05 10:25:41.4329,5,1.0,84.0
8.395,2024/06/05 10:25:41.5789,3,1.0,92.0
8.495,2024/06/05 10:25:41.6789,5,1.0,84.0
8.641,2024/06/05 10:25:41.8249,3,1.0,94.0
8.741,2024/06/05 10:25:41.9249,5,1.0,84.0
8.889,2024/06/05 10:25:42.0729,3,1.0,94.0
8.989,2024/06/05 10:25:42.1729,5,1.0,84.0
9.135,2024/06/05 10:25:42.3189,3,1.0,94.0
9.38,2024/06/05 10:25:42.5639,3,1.0,94.0
9.627,2024/06/05 10:25:42.8109,3,1.0,94.0
9.726,2024/06/05 10:25:42.9099,5,1.0,84.0
9.873,2024/06/05 10:25:43.0569,3,1.0,94.0
9.972,2024/06/05 10:25:43.1559,5,1.0,84.0
10.119,2024/06/05 10:25:43.3029,3,1.0,94.0
10.219,2024/06/05 10:25:43.4029,5,1.0,84.0
10.366,2024/06/05 10:25:43.5499,3,1.0,94.0
10.465,2024/06/05 10:25:43.6489,5,1.0,84.0
10.612,2024/06/05 10:25:43.7959,3,1.0,94.0
10.712,2024/06/05 10:25:43.8959,5,1.0,84.0
10.858,2024/06/05 10:25:44.0419,3,1.0,94.0
10.958,2024/06/05 10:25:44.1419,5,1.0,84.0
11.105,2024/06/05 10:25:44.2889,3,1.0,95.0
11.204,2024/06/05 10:25:44.3879,5,1.0,84.0
11.351,2024/06/05 10:25:44.5349,3,1.0,95.0
11.45,2024/06/05 10:25:44.6339,5,1.0,84.0
11.597,2024/06/05 10:25:44.7809,3,1.0,95.0
11.696,2024/06/05 10:25:44.8799,5,1.0,84.0
11.843,2024/06/05 10:25:45.0269,3,1.0,95.0
11.943,2024/06/05 10:25:45.1269,5,1.0,84.0
12.09,2024/06/05 10:25:45.2739,3,1.0,95.0
12.189,2024/06/05 10:25:45.3729,5,1.0,84.0
12.336,2024/06/05 10:25:45.5199,3,1.0,96.0
12.436,2024/06/05 10:25:45.6199,5,1.0,84.0
12.582,2024/06/05 10:25:45.7659,3,1.0,96.0
12.682,2024/06/05 10:25:45.8659,5,1.0,84.0
12.829,2024/06/05 10:25:46.0129,3,1.0,96.0
13.075,2024/06/05 10:25:46.2589,3,1.0,96.0
13.174,2024/06/05 10:25:46.3579,5,1.0,84.0
13.321,2024/06/05 10:25:46.5049,3,1.0,96.0
13.421,2024/06/05 10:25:46.6049,5,1.0,84.0
13.567,2024/06/05 10:25:46.7509,3,1.0,96.0
13.666,2024/06/05 10:25:46.8499,5,1.0,84.0
13.814,2024/06/05 10:25:46.9979,3,1.0,96.0
13.913,2024/06/05 10:25:47.0969,5,1.0,84.0
14.059,2024/06/05 10:25:47.2429,3,1.0,96.0
14.159,2024/06/05 10:25:47.3429,5,1.0,85.0
14.306,2024/06/05 10:25:47.4899,3,1.0,96.0
14.406,2024/06/05 10:25:47.5899,5,1.0,85.0
14.553,2024/06/05 10:25:47.7369,3,1.0,96.0
14.651,2024/06/05 10:25:47.8349,5,1.0,85.0
14.799,2024/06/05 10:25:47.9829,3,1.0,96.0
14.898,2024/06/05 10:25:48.0819,5,1.0,85.0
15.144,2024/06/05 10:25:48.3279,5,1.0,85.0
15.291,2024/06/05 10:25:48.4749,3,1.0,97.0
15.391,2024/06/05 10:25:48.5749,5,1.0,85.0
15.537,2024/06/05 10:25:48.7209,3,1.0,97.0
15.637,2024/06/05 10:25:48.8209,5,1.0,85.0
15.784,2024/06/05 10:25:48.9679,3,1.0,97.0
15.884,2024/06/05 10:25:49.0679,5,1.0,85.0
16.03,2024/06/05 10:25:49.2139,3,1.0,97.0
16.13,2024/06/05 10:25:49.3139,5,1.0,85.0
16.276,2024/06/05 10:25:49.4599,3,1.0,98.0
16.375,2024/06/05 10:25:49.5589,5,1.0,85.0
16.522,2024/06/05 10:25:49.7059,3,1.0,98.0
16.622,2024/06/05 10:25:49.8059,5,1.0,85.0
16.769,2024/06/05 10:25:49.9529,3,1.0,98.0
16.869,2024/06/05 10:25:50.0529,5,1.0,85.0
17.015,2024/06/05 10:25:50.1989,3,1.0,99.0
17.114,2024/06/05 10:25:50.2979,5,1.0,90.0
17.261,2024/06/05 10:25:50.4449,3,1.0,99.0
17.361,2024/06/05 10:25:50.5449,5,1.0,90.0
17.754,2024/06/05 10:25:50.9379,3,1.0,100.0
17.853,2024/06/05 10:25:51.0369,5,1.0,90.0
18.1,2024/06/05 10:25:51.2839,5,1.0,90.0
18.246,2024/06/05 10:25:51.4299,3,1.0,100.0
18.346,2024/06/05 10:25:51.5299,5,1.0,94.0
18.985,2024/06/05 10:25:52.1689,3,1.0,101.0
19.085,2024/06/05 10:25:52.2689,5,1.0,94.0
19.231,2024/06/05 10:25:52.4149,3,1.0,101.0
19.478,2024/06/05 10:25:52.6619,3,1.0,101.0
19.577,2024/06/05 10:25:52.7609,5,1.0,94.0
19.724,2024/06/05 10:25:52.9079,3,1.0,100.0
19.824,2024/06/05 10:25:53.0079,5,1.0,94.0
19.97,2024/06/05 10:25:53.1539,3,1.0,100.0
20.07,2024/06/05 10:25:53.2539,5,1.0,94.0
20.217,2024/06/05 10:25:53.4009,3,1.0,100.0
20.316,2024/06/05 10:25:53.4999,5,1.0,97.0
20.463,2024/06/05 10:25:53.6469,3,1.0,98.0
20.562,2024/06/05 10:25:53.7459,5,1.0,97.0
20.709,2024/06/05 10:25:53.8929,3,1.0,98.0
20.956,2024/06/05 10:25:54.1399,3,1.0,98.0
21.055,2024/06/05 10:25:54.2389,5,1.0,97.0
21.201,2024/06/05 10:25:54.3849,3,1.0,96.0
21.301,2024/06/05 10:25:54.4849,5,1.0,97.0
21.448,2024/06/05 10:25:54.6319,3,1.0,96.0
21.548,2024/06/05 10:25:54.7319,5,1.0,97.0
21.695,2024/06/05 10:25:54.8789,3,1.0,96.0
21.794,2024/06/05 10:25:54.9779,5,1.0,97.0
21.94,2024/06/05 10:25:55.1239,3,1.0,94.0
22.186,2024/06/05 10:25:55.3699,3,1.0,94.0
22.286,2024/06/05 10:25:55.4699,5,1.0,97.0
22.433,2024/06/05 10:25:55.6169,3,1.0,94.0
22.532,2024/06/05 10:25:55.7159,5,1.0,97.0
22.679,2024/06/05 10:25:55.8629,3,1.0,92.0
22.779,2024/06/05 10:25:55.9629,5,1.0,97.0
22.926,2024/06/05 10:25:56.1099,3,1.0,92.0
23.026,2024/06/05 10:25:56.2099,5,1.0,97.0
23.171,2024/06/05 10:25:56.3549,3,1.0,91.0
23.271,2024/06/05 10:25:56.4549,5,1.0,97.0
23.418,2024/06/05 10:25:56.6019,3,1.0,91.0
23.518,2024/06/05 10:25:56.7019,5,1.0,97.0
23.664,2024/06/05 10:25:56.8479,3,1.0,91.0
23.764,2024/06/05 10:25:56.9479,5,1.0,97.0
23.911,2024/06/05 10:25:57.0949,3,1.0,90.0
24.01,2024/06/05 10:25:57.1939,5,1.0,97.0
24.157,2024/06/05 10:25:57.3409,3,1.0,90.0
24.256,2024/06/05 10:25:57.4399,5,1.0,97.0
24.403,2024/06/05 10:25:57.5869,3,1.0,90.0
24.503,2024/06/05 10:25:57.6869,5,1.0,97.0
24.65,2024/06/05 10:25:57.8339,3,1.0,89.0
24.749,2024/06/05 10:25:57.9329,5,1.0,97.0
24.895,2024/06/05 10:25:58.0789,3,1.0,89.0
24.995,2024/06/05 10:25:58.1789,5,1.0,97.0
25.142,2024/06/05 10:25:58.3259,3,1.0,89.0
25.388,2024/06/05 10:25:58.5719,3,1.0,89.0
25.488,2024/06/05 10:25:58.6719,5,1.0,97.0
25.634,2024/06/05 10:25:58.8179,3,1.0,89.0
25.734,2024/06/05 10:25:58.9179,5,1.0,97.0
25.881,2024/06/05 10:25:59.0649,3,1.0,89.0
25.981,2024/06/05 10:25:59.1649,5,1.0,97.0
26.127,2024/06/05 10:25:59.3109,3,1.0,89.0
26.226,2024/06/05 10:25:59.4099,5,1.0,98.0
26.374,2024/06/05 10:25:59.5579,3,1.0,89.0
26.473,2024/06/05 10:25:59.6569,5,1.0,98.0
26.619,2024/06/05 10:25:59.8029,3,1.0,88.0
26.719,2024/06/05 10:25:59.9029,5,1.0,98.0
26.866,2024/06/05 10:26:00.0499,3,1.0,88.0
26.966,2024/06/05 10:26:00.1499,5,1.0,98.0
27.112,2024/06/05 10:26:00.2959,3,1.0,88.0
27.212,2024/06/05 10:26:00.3959,5,1.0,98.0
27.358,2024/06/05 10:26:00.5419,3,1.0,89.0
27.458,2024/06/05 10:26:00.6419,5,1.0,98.0
27.704,2024/06/05 10:26:00.8879,5,1.0,98.0
27.851,2024/06/05 10:26:01.0349,3,1.0,89.0
27.951,2024/06/05 10:26:01.1349,5,1.0,98.0
28.197,2024/06/05 10:26:01.3809,5,1.0,99.0
28.344,2024/06/05 10:26:01.5279,3,1.0,89.0
28.443,2024/06/05 10:26:01.6269,5,1.0,99.0
28.59,2024/06/05 10:26:01.7739,3,1.0,89.0
28.69,2024/06/05 10:26:01.8739,5,1.0,99.0
28.936,2024/06/05 10:26:02.1199,5,1.0,99.0
29.083,2024/06/05 10:26:02.2669,3,1.0,89.0
29.182,2024/06/05 10:26:02.3659,5,1.0,99.0
29.329,2024/06/05 10:26:02.5129,3,1.0,89.0
