reltime,datetime,iSensor,headPos.x,headPos.y,headPos.z,headPosQ,headYaw,headPitch,headRoll,headRotQ,gazeSrc.x,gazeSrc.y,gazeSrc.z,gazeDir.x,gazeDir.y,gazeDir.z,gazeQ,leftEyeOpen,leftEyeOpenQ,rightEyeOpen,rightEyeOpenQ,pupil,pupilQ
0.001,2024/06/05 10:23:34.5689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.009,-0.015,0.972,-0.124,0.201,0.97,10.0,1.0,9.35,1.0,2.4,0.97
1.266,2024/06/05 10:23:35.8339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.009,-0.015,0.968,-0.13,0.216,0.98,10.0,1.0,9.5,1.0,2.44,0.98
1.285,2024/06/05 10:23:35.8529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.009,-0.015,0.968,-0.13,0.216,0.98,10.0,1.0,9.5,1.0,2.44,0.98
1.295,2024/06/05 10:23:35.8629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.009,-0.015,0.968,-0.13,0.216,0.99,10.0,1.0,9.83,1.0,2.46,0.99
1.315,2024/06/05 10:23:35.8829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.009,-0.015,0.968,-0.13,0.216,0.96,10.0,1.0,9.25,1.0,2.45,0.96
1.325,2024/06/05 10:23:35.8929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.009,-0.015,0.968,-0.129,0.215,0.98,10.0,1.0,9.58,1.0,2.45,0.98
1.345,2024/06/05 10:23:35.9129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.009,-0.015,0.969,-0.129,0.213,1.0,10.0,1.0,10.0,1.0,2.45,1.0
1.365,2024/06/05 10:23:35.9329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.009,-0.015,0.97,-0.129,0.208,0.96,10.0,1.0,9.29,1.0,2.44,0.96
1.375,2024/06/05 10:23:35.9429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.009,-0.015,0.97,-0.127,0.208,0.96,10.0,1.0,9.29,1.0,2.43,0.96
1.395,2024/06/05 10:23:35.9629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.009,-0.015,0.97,-0.126,0.208,0.99,10.0,1.0,9.72,1.0,2.45,0.99
1.413,2024/06/05 10:23:35.9809,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.009,-0.015,0.97,-0.125,0.209,0.94,10.0,1.0,8.83,1.0,2.45,0.94
