reltime,datetime,iSensor,headPos.x,headPos.y,headPos.z,headPosQ,headYaw,headPitch,headRoll,headRotQ,gazeSrc.x,gazeSrc.y,gazeSrc.z,gazeDir.x,gazeDir.y,gazeDir.z,gazeQ,leftEyeOpen,leftEyeOpenQ,rightEyeOpen,rightEyeOpenQ,pupil,pupilQ
0.001,2024/06/05 10:25:33.1849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.975,-0.077,0.208,0.96,10.0,1.0,9.29,1.0,2.41,0.96
0.005,2024/06/05 10:25:33.1889,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.976,-0.072,0.205,0.99,10.0,1.0,9.86,1.0,2.39,0.99
0.014,2024/06/05 10:25:33.1979,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.976,-0.072,0.205,0.99,10.0,1.0,9.86,1.0,2.39,0.99
0.034,2024/06/05 10:25:33.2179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.977,-0.069,0.203,0.96,10.0,1.0,9.2,1.0,2.41,0.96
0.044,2024/06/05 10:25:33.2279,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.977,-0.068,0.204,0.96,10.0,1.0,9.23,1.0,2.41,0.96
0.064,2024/06/05 10:25:33.2479,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.977,-0.065,0.204,0.98,10.0,1.0,9.63,1.0,2.39,0.98
0.084,2024/06/05 10:25:33.2679,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.977,-0.068,0.203,0.99,10.0,1.0,9.89,1.0,2.39,0.99
0.094,2024/06/05 10:25:33.2779,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.976,-0.066,0.206,0.95,10.0,1.0,8.92,1.0,2.43,0.95
0.114,2024/06/05 10:25:33.2979,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.976,-0.07,0.205,0.97,10.0,1.0,9.4,1.0,2.42,0.97
0.134,2024/06/05 10:25:33.3179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.976,-0.066,0.209,0.97,10.0,1.0,9.35,1.0,2.41,0.97
0.143,2024/06/05 10:25:33.3269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.976,-0.065,0.21,0.98,10.0,1.0,9.61,1.0,2.43,0.98
0.162,2024/06/05 10:25:33.3459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.977,-0.061,0.206,0.99,10.0,1.0,9.83,1.0,2.41,0.99
0.172,2024/06/05 10:25:33.3559,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.977,-0.061,0.206,0.99,10.0,1.0,9.81,1.0,2.43,0.99
0.191,2024/06/05 10:25:33.3749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.977,-0.061,0.206,0.99,10.0,1.0,9.81,1.0,2.43,0.99
0.21,2024/06/05 10:25:33.3939,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.978,-0.064,0.2,0.98,10.0,1.0,9.54,1.0,2.43,0.98
0.22,2024/06/05 10:25:33.4039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.978,-0.064,0.2,0.98,10.0,1.0,9.54,1.0,2.43,0.98
0.239,2024/06/05 10:25:33.4229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.978,-0.066,0.195,0.98,10.0,1.0,9.68,1.0,2.43,0.98
0.259,2024/06/05 10:25:33.4429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.978,-0.066,0.197,0.98,10.0,1.0,9.68,1.0,2.43,0.98
0.269,2024/06/05 10:25:33.4529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.979,-0.067,0.194,0.96,10.0,1.0,9.24,1.0,2.42,0.96
0.288,2024/06/05 10:25:33.4719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.978,-0.067,0.197,0.99,10.0,1.0,9.85,1.0,2.41,0.99
0.297,2024/06/05 10:25:33.4809,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.978,-0.064,0.196,0.94,10.0,1.0,8.88,1.0,2.44,0.94
0.316,2024/06/05 10:25:33.4999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.978,-0.064,0.198,0.95,10.0,1.0,8.96,1.0,2.43,0.95
0.335,2024/06/05 10:25:33.5189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.978,-0.062,0.198,0.94,10.0,1.0,8.71,1.0,2.45,0.94
0.344,2024/06/05 10:25:33.5279,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.978,-0.062,0.201,0.92,10.0,1.0,8.43,1.0,2.45,0.92
0.364,2024/06/05 10:25:33.5479,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.978,-0.065,0.198,0.98,10.0,1.0,9.63,1.0,2.45,0.98
0.374,2024/06/05 10:25:33.5579,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.977,-0.068,0.202,0.97,10.0,1.0,9.36,1.0,2.45,0.97
0.392,2024/06/05 10:25:33.5759,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.977,-0.068,0.202,0.97,10.0,1.0,9.36,1.0,2.45,0.97
0.402,2024/06/05 10:25:33.5859,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.976,-0.071,0.204,0.99,10.0,1.0,9.88,1.0,2.44,0.99
0.422,2024/06/05 10:25:33.6059,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.976,-0.073,0.208,0.99,10.0,1.0,9.7,1.0,2.44,0.99
0.442,2024/06/05 10:25:33.6259,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.976,-0.068,0.206,0.97,10.0,1.0,9.47,1.0,2.45,0.97
0.452,2024/06/05 10:25:33.6359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.976,-0.068,0.206,0.97,10.0,1.0,9.47,1.0,2.45,0.97
0.472,2024/06/05 10:25:33.6559,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.976,-0.06,0.208,1.0,10.0,1.0,9.95,1.0,2.46,1.0
0.482,2024/06/05 10:25:33.6659,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.976,-0.065,0.206,0.96,10.0,1.0,9.12,1.0,2.44,0.96
0.502,2024/06/05 10:25:33.6859,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.975,-0.065,0.211,0.99,10.0,1.0,9.84,1.0,2.47,0.99
0.522,2024/06/05 10:25:33.7059,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.975,-0.065,0.213,0.99,10.0,1.0,9.84,1.0,2.47,0.99
0.532,2024/06/05 10:25:33.7159,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.007,-0.014,0.974,-0.068,0.214,0.97,10.0,1.0,9.32,1.0,2.47,0.97
