reltime;datetime;iSensor;headPos.x;headPos.y;headPos.z;headPosQ;headYaw;headPitch;headRoll;headRotQ;gazeSrc.x;gazeSrc.y;gazeSrc.z;gazeDir.x;gazeDir.y;gazeDir.z;gazeQ;leftEyeOpen;leftEyeOpenQ;rightEyeOpen;rightEyeOpenQ;pupil;pupilQ

   0.0010;2024/06/21 11:18:40.3419;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;0.982;-0.076;0.174;1.00;10.00;1.00;10.00;1.00;2.06;1.00
   1.2810;2024/06/21 11:18:41.6219;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;1.000;0.015;0.022;1.00;10.00;1.00;10.00;1.00;2.14;1.00
   1.3100;2024/06/21 11:18:41.6509;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;1.000;0.017;0.022;1.00;10.00;1.00;10.00;1.00;2.12;1.00
   1.3300;2024/06/21 11:18:41.6709;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;1.000;0.005;0.026;1.00;10.00;1.00;10.00;1.00;2.12;1.00
   1.3400;2024/06/21 11:18:41.6809;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;1.000;0.004;0.028;1.00;10.00;1.00;10.00;1.00;2.12;1.00
   1.3600;2024/06/21 11:18:41.7009;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;1.000;-0.006;0.028;1.00;10.00;1.00;10.00;1.00;2.12;1.00
   1.3800;2024/06/21 11:18:41.7209;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;0.999;-0.009;0.033;1.00;10.00;1.00;10.00;1.00;2.12;1.00
   1.3900;2024/06/21 11:18:41.7309;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;0.999;-0.015;0.033;1.00;10.00;1.00;10.00;1.00;2.12;1.00
   1.4080;2024/06/21 11:18:41.7489;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;0.999;-0.016;0.031;1.00;10.00;1.00;10.00;1.00;2.10;1.00
   1.4170;2024/06/21 11:18:41.7579;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;0.999;-0.016;0.032;1.00;10.00;1.00;10.00;1.00;2.09;1.00
   1.4360;2024/06/21 11:18:41.7769;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;0.999;-0.017;0.033;1.00;10.00;1.00;10.00;1.00;2.10;1.00
   1.4460;2024/06/21 11:18:41.7869;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;0.999;-0.019;0.032;1.00;10.00;1.00;10.00;1.00;2.10;1.00
   1.4650;2024/06/21 11:18:41.8059;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;0.999;-0.015;0.031;1.00;10.00;1.00;10.00;1.00;2.06;1.00
   1.4850;2024/06/21 11:18:41.8259;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.009;-0.014;0.999;-0.012;0.030;1.00;10.00;1.00;10.00;1.00;2.07;1.00
