reltime;datetime;iSensor;confidence;heart_rate

   0.0010;2024/06/05 12:51:33.0369;5;1.00;81.0
   0.0010;2024/06/05 12:51:33.0369;4;0.00;0.0
   0.0010;2024/06/05 12:51:33.0369;3;1.00;80.0
   0.0010;2024/06/05 12:51:33.0369;2;0.00;0.0
   0.0010;2024/06/05 12:51:33.0369;1;0.00;0.0
   0.0010;2024/06/05 12:51:33.0369;0;0.00;0.0
   0.0420;2024/06/05 12:51:33.0779;5;1.00;81.0
   0.2260;2024/06/05 12:51:33.2619;3;1.00;81.0
   0.5330;2024/06/05 12:51:33.5689;5;1.00;80.0
   0.7180;2024/06/05 12:51:33.7539;3;1.00;81.0
   1.0260;2024/06/05 12:51:34.0619;5;1.00;80.0
   1.2100;2024/06/05 12:51:34.2459;3;1.00;81.0
   1.4570;2024/06/05 12:51:34.4929;3;1.00;81.0
   1.5190;2024/06/05 12:51:34.5549;5;1.00;79.0
   1.7030;2024/06/05 12:51:34.7389;3;1.00;81.0
   1.9500;2024/06/05 12:51:34.9859;3;1.00;81.0
   2.0110;2024/06/05 12:51:35.0469;5;1.00;79.0
   2.2580;2024/06/05 12:51:35.2939;5;1.00;79.0
   2.4420;2024/06/05 12:51:35.4779;3;1.00;81.0
   2.7510;2024/06/05 12:51:35.7869;5;1.00;79.0
   2.9350;2024/06/05 12:51:35.9709;3;1.00;81.0
   3.4280;2024/06/05 12:51:36.4639;3;1.00;81.0
   3.7350;2024/06/05 12:51:36.7709;5;1.00;79.0
   3.9200;2024/06/05 12:51:36.9559;3;1.00;81.0
   4.2280;2024/06/05 12:51:37.2639;5;1.00;79.0
   4.4130;2024/06/05 12:51:37.4489;3;1.00;80.0
   4.6590;2024/06/05 12:51:37.6949;3;1.00;80.0
   4.7210;2024/06/05 12:51:37.7569;5;1.00;79.0
   4.9050;2024/06/05 12:51:37.9409;3;1.00;80.0
   5.1520;2024/06/05 12:51:38.1879;3;1.00;81.0
   5.2130;2024/06/05 12:51:38.2489;5;1.00;80.0
   5.4600;2024/06/05 12:51:38.4959;5;1.00;80.0
   5.6430;2024/06/05 12:51:38.6789;3;1.00;81.0
   5.7060;2024/06/05 12:51:38.7419;5;1.00;80.0
   5.9520;2024/06/05 12:51:38.9879;5;1.00;80.0
   6.1360;2024/06/05 12:51:39.1719;3;1.00;80.0
   6.4440;2024/06/05 12:51:39.4799;5;1.00;82.0
   6.6290;2024/06/05 12:51:39.6649;3;1.00;80.0
   6.9370;2024/06/05 12:51:39.9729;5;1.00;82.0
   7.1210;2024/06/05 12:51:40.1569;3;1.00;80.0
   7.4290;2024/06/05 12:51:40.4649;5;1.00;81.0
   7.6140;2024/06/05 12:51:40.6499;3;1.00;80.0
   7.8600;2024/06/05 12:51:40.8959;3;1.00;80.0
   7.9220;2024/06/05 12:51:40.9579;5;1.00;81.0
   8.1070;2024/06/05 12:51:41.1429;3;1.00;80.0
   8.3530;2024/06/05 12:51:41.3889;3;1.00;80.0
   8.4150;2024/06/05 12:51:41.4509;5;1.00;81.0
   8.6610;2024/06/05 12:51:41.6969;5;1.00;81.0
   8.8450;2024/06/05 12:51:41.8809;3;1.00;80.0
   8.9070;2024/06/05 12:51:41.9429;5;1.00;81.0
   9.1530;2024/06/05 12:51:42.1889;5;1.00;81.0
   9.3380;2024/06/05 12:51:42.3739;3;1.00;80.0
   9.6460;2024/06/05 12:51:42.6819;5;1.00;81.0
   9.8310;2024/06/05 12:51:42.8669;3;1.00;80.0
  10.1380;2024/06/05 12:51:43.1739;5;1.00;81.0
  10.3230;2024/06/05 12:51:43.3589;3;1.00;80.0
  10.6320;2024/06/05 12:51:43.6679;5;1.00;81.0
  10.8150;2024/06/05 12:51:43.8509;3;1.00;80.0
  11.0610;2024/06/05 12:51:44.0969;3;1.00;80.0
  11.1240;2024/06/05 12:51:44.1599;5;1.00;81.0
  11.3080;2024/06/05 12:51:44.3439;3;1.00;80.0
  11.5540;2024/06/05 12:51:44.5899;3;1.00;80.0
  11.6160;2024/06/05 12:51:44.6519;5;1.00;80.0
  11.8630;2024/06/05 12:51:44.8989;5;1.00;80.0
  12.0470;2024/06/05 12:51:45.0829;3;1.00;80.0
  12.1090;2024/06/05 12:51:45.1449;5;1.00;80.0
  12.3550;2024/06/05 12:51:45.3909;5;1.00;80.0
  12.5390;2024/06/05 12:51:45.5749;3;1.00;80.0
  12.8480;2024/06/05 12:51:45.8839;5;1.00;80.0
  13.0320;2024/06/05 12:51:46.0679;3;1.00;80.0
  13.3400;2024/06/05 12:51:46.3759;5;1.00;80.0
  13.5240;2024/06/05 12:51:46.5599;3;1.00;80.0
  13.8320;2024/06/05 12:51:46.8679;5;1.00;80.0
  14.0170;2024/06/05 12:51:47.0529;3;1.00;80.0
  14.2630;2024/06/05 12:51:47.2989;3;1.00;81.0
